lang_list,en,ru
signIn.title,Sign In,Авторизация
signIn.welcome,Sign In to continue to Affiliate Network,"Авторизуйтесь, чтобы продолжить работу с сервисом"
signIn.emailPlaceholder,Email,Email
signIn.passwordPlaceholder,Password,Пароль
signIn.signInButton,Sign In,Подтвердить
signIn.notRegisteredYet,Not registered yet?,Еще не зарегистрированы?
signIn.signUpLink,Sign Up,Регистрация
signIn.wrongCredentials,"Wrong credentials, please try again.",Неправильные логин или пароль.
,,
signUp.title,Sign Up,Регистрация
signUp.signInLink,Sign In,Авторизоваться
signUp.headMessage,Enter registration data into the fields below:,Введите Ваши регистрационные данные:
signUp.asterisksMessage,fields marked with asterisks are mandatory,поля помеченные звездочкой обязательны к заполнению
signUp.shopName,Shop name,Название магазина
signUp.shopNamePlaceholder,My shop name,Мой магазин
signUp.shopUrl,Shop URL,URL магазина
signUp.shopUrlPlaceholder,www.my-shop.com,www.my-shop.com
signUp.email,E-mail,E-mail
signUp.emailPlaceholder,mymail@example.com,mymail@example.com
signUp.password,Password,Пароль
signUp.passwordPlaceholder,password,Мой пароль
signUp.firstName,First name,Имя
signUp.firstNamePlaceholder,First Name,Моё имя
signUp.lastName,Last name,Фамилия
signUp.lastNamePlaceholder,Last Name,Моя фамилия
signUp.buttonText,Sign Up,Подтвердить
signUp.language,Preferred language,Предпочитаемый язык
signUp.provideResource,Provide resource for automatic price-list synchronization (if available),Добавить ресур для автообновления прайс-листа (не обязательно)
signUp.resourceUrl,Price-list resource URL,URL ресурса
signUp.resourceFileFormat,Resource file format,"Формат файла, предоставляемого ресурсом"
signUp.provideAuth,Provide resource basic authentication credentials (if required),Ввести данные аутентификации ресурса (если требуется)
signUp.resourceUsername,Resource authentication username,Логин для доступа к ресурсу
signUp.resourcePassword,Resource authentication password,Пароль для доступа к ресурсу
,,
sideBar.welcome,Welcome,Здравствуйте
sideBar.statistics,Statistics,Статистика
sideBar.overview,Overview,Обзор
sideBar.orders,Orders,Заказы
sideBar.clicks,Clicks,Клики
sideBar.notifications,Notifications,Сообщения
sideBar.unread,Unread,Новые
sideBar.archive,Archive,Архивные
sideBar.accounting,Accounting,Финансы
sideBar.history,History,Истроия
sideBar.addMoney,Add money,Пополнить счет
sideBar.integration,Integration,Интеграция
sideBar.uploadProducts,Upload products,Загрузить продукты
sideBar.uploadOrders,Upload orders,Загрузить заказы
sideBar.synch,Synchronization,Синхронизация
sideBar.settings,Settings,Настройки
sideBar.profileInfo,Profile info,Профиль
sideBar.emailNotif,E-mail notifications,Сообщения почты
sideBar.merchantDocs,Merchant Documentation,Документация
sideBar.home,Home,Дом
,,
userUpload.header,File upload,Загрузка файлов
userUpload.upload,Upload,Загрузка файлов
userUpload.uploadInvitation,Upload your price-list file,Загрузите ваш прайс-лист
userUpload.chooseFile,Choose file to upload (only .csv and .yml formats accepted),Выберите файл для загрузки на сервер (поддерживаются только форматы .csv и  .yml )
userUpload.fileNamePlaceholder,file not choosen,файл не выбран
userUpload.uploadButton,Upload,Загрузить
userUpload.lastFiles,Last 10 files You have uploaded,Последние 10 загруженных файлов
userUpload.row1,Name,Имя
userUpload.row2,Products count,Кол-во товаров
userUpload.row3,Upload time,Время загрузки
userUpload.row4,Size in bytes,Размер в байтах
userUpload.row5,Validity,Валидность
userUpload.row6,Activity,Активность
userUpload.row7,Validation message,Сообщение валидации
,,
dash.header,Statistics,Статистика
dash.graphName,Clicks and orders,Клики и заказы
dash.last10orders,Last 10 orders,Последние 10 заказов
dash.currentMonthStat,Current month statistics,Статистика текущего месяца
dash.previousMonthStat,Previous month statistics,Статистика предыдущего месяца
dash.ordersTotal,Orders,Заказы
dash.conversion,Conversion,Конверсия
dash.topProductsVisited,Top products visited,Самые посещаемые товары
dash.topGrowingSales,Top growing sales,Товары с растущей популярностью
dash.rowTime,Time,Время
dash.rowStatus,Status,Статус
dash.rowTitle,Title,Название
dash.rowPrice,Price,Цена
dash.rowVisitsLastDay,Visits last day,Кликов за день
dash.rowVisitsLastWeek,Visits last week,Кликов за неделю
dash.clicks,Clicks,Клики
dash.orders,Orders,Заказы
dash.confirmed,Confirmed,Подтвержденные
dash.cancelled,Cancelled,Отмененные
,,
updateProfile.header,Profile,Профиль
updateProfile.welcome,Profile info,Персональные данные
updateProfile.message,You can change your personal data here.,Здесь Вы можете изменить свои персональные данные.
updateProfile.shopName,Shop name,Название магазина
updateProfile.shopUrl,Shop URL,URL магазина
updateProfile.email,E-mail,E-mail
updateProfile.password,Password,Пароль
updateProfile.firstName,First name,Имя
updateProfile.lastName,Last name,Фамилия
updateProfile.button,Update,Подтвердить
,,
updateProfileOk.header,Profile,Профиль
updateProfileOk.welcome,"Your profile was updated successfully, current info is","Профиль успешно обновлен, акутальная информация"
updateProfileOk.shopName,Shop name,Название магазина
updateProfileOk.shopUrl,Shop URL,URL магазина
updateProfileOk.email,E-mail,E-mail
updateProfileOk.password,Password,Пароль
updateProfileOk.firstName,First name,Имя
updateProfileOk.lastName,Last name,Фамилия
updateProfileOk.button,Back,Назад
